0;Reserved
1;NxNetworks
2;IBM (https://w3.ibm.com/standards )
3;Carnegie Mellon
4;Unix
5;ACC
6;TWG
7;CAYMAN
8;PSI
9;ciscoSystems
10;NSC
11;Hewlett-Packard
12;Epilogue
13;U of Tennessee
14;BBN Technologies
15;Xylogics, Inc.
16;Timeplex
17;Canstar
18;Wellfleet
19;TRW
20;MIT
21;EON
22;Fibronics
23;Novell
24;Spider Systems
25;NSFNET
26;Hughes LAN Systems
27;Intergraph
28;Interlan
29;Vitalink Communications
30;Ulana
31;NSWC
32;Santa Cruz Operation
33;MRV Communications, In-Reach Product Division
34;Cray
35;Nortel Networks
36;DEC
37;Touch
38;Network Research Corp.
39;Baylor College of Medicine
40;NMFECC-LLNL
41;SRI
42;Sun Microsystems
43;3Com
44;CMC
45;SynOptics
46;Cheyenne Software
47;Prime Computer
48;MCNC/North Carolina
49;Chippcom
50;Optical Data Systems
51;gated
52;Enterasys Networks Inc.
53;Apollo Computers
54;DeskTalk Systems, Inc.
55;SSDS
56;Castle Rock Computing
57;MIPS Computer Systems
58;TGV, Inc.
59;Silicon Graphics, Inc.
60;University of British Columbia
61;Merit
62;NetEdge
63;Apple Computer, Inc.
64;Gandalf
65;Dartmouth College
66;David Systems
67;Reuter
68;Cornell
69;Michael Sabo
70;Locus Computing Corp.
71;NASA
72;Retix
73;Boeing
74;AT&T
75;Ungermann-Bass
76;Digital Analysis Corporation
77;LAN Manager
78;LogMatrix Inc (formerly 'OpenService Inc.')
79;Fujitsu Services
80;Auspex Systems, Inc
81;Lannet Company
82;Network Computing Devices
83;Raycom Systems
84;Pirelli Focom Ltd.
85;Datability Software Systems
86;Network Application Technology
87;Institute of Telematics, Karlsruhe Institute of Technology (KIT)
88;New York University
89;RND
90;InterCon Systems Corporation
91;Coral Network Corporation
92;Webster Computer Corporation
93;Frontier Technologies Corporation
94;Nokia
95;Rockwell Automation, Inc. (formerly 'Allen-Bradley Company')
96;CERN
97;Sigma Network Systems, Inc.
98;Emerging Technologies, Inc.
99;SNMP Research
100;Ohio State University
101;Ultra Network Technologies Julie
102;Microcom
103;Lockheed Martin
104;Micro Technology
105;Process Software Corporation
106;EMC Data General Division
107;Bull Company
108;Emulex Corporation
109;Warwick University Computing Services
110;NetScout Systems, Inc. (formerly 'Network General Corporation')
111;Oracle
112;Control Data Corporation
113;Hughes Aircraft Company
114;Synernetics, Inc.
115;Mitre
116;Hitachi, Ltd.
117;Telebit
118;Salomon Technology Services
119;NEC Corporation
120;Fibermux
121;FTP Software Inc.
122;Sony
123;Newbridge Networks Corporation
124;Racal-Datacom
125;CR SYSTEMS
126;DSET Corporation
127;Computone
128;Tektronix, Inc.
129;Interactive Systems Corporation
130;Banyan Systems Inc.
131;Sintrom Datanet Limited
132;Bell Canada
133;Olicom Enterprise Products Inc.
134;Rice University
135;OnStream Networks
136;Concurrent Computer Corporation
137;Basser
138;Luxcom
139;Artel
140;Independence Technologies, Inc.(ITI)
141;NetScout Systems, Inc. (formerly 'Frontier Software Development')
142;Digital Computer Limited
143;Eyring, Inc.
144;Case Communications
145;Penril DataComm, Inc.
146;American Airlines, Inc.
147;Sequent Computer Systems
148;Bellcore
149;Concord Communications
150;University of Washington
151;Develcon
152;Solarix Systems
153;Unifi Communications Corp.
154;Roadnet
155;Network Systems Corp.
156;ENE (European Network Engineering)
157;Dansk Data Elektronik A/S
158;Morningstar, Inc.
159;Dupont EOP
160;Legato Systems, Inc.
161;Motorola
162;European Space Agency (ESA)
163;Aethis sa/nv
164;Rad Data Communications Ltd.
165;OfficeNet, Inc.
166;Shiva Corporation
167;Fujikura America
168;Xlnt Designs INC (XDI)
169;Tandem Computers
170;BICC
171;D-Link Systems, Inc.
172;AMP, Inc.
173;Netlink
174;C. Itoh Electronics
175;Sumitomo Electric Industries (SEI)
176;DHL Systems, Inc.
177;Sonus Networks, Inc.
178;APTEC Computer Systems
179;Schneider & Koch & Co, Datensysteme GmbH
180;Hill Air Force Base
181;Kentrox
182;Japan Radio Co.
183;Versitron
184;Telecommunication Systems
185;Interphase
186;Toshiba Corporation
187;Clearpoint Research Corp.
188;Ascom
189;Fujitsu America
190;NovaQuest InfoSystems
191;NCR
192;Dr. Materna GmbH
193;Ericsson AB
194;Metaphor Computer Systems
195;Patriot Partners
196;The Software Group Limited (TSG)
197;Kalpana, Inc.
198;University of Waterloo
199;CCL/ITRI
200;Coeur Postel
201;Mitsubishi Cable Industries, Ltd. / RYOSEI SYSTEMS,LTD.
202;SMC
203;Crescendo Communication, Inc.
204;Goodall Software Engineering
205;Intecom
206;Victoria University of Wellington
207;Allied Telesis, Inc.
208;Cray Communications A/S
209;Protools
210;NIPPON TELEGRAPH AND TELEPHONE CORPORATION
211;Fujitsu Limited
212;Network Peripherals Inc.
213;Netronix, Inc.
214;University of Wisconsin Madison
215;NetWorth, Inc.
216;Tandberg Data A/S
217;Technically Elite Concepts, Inc.
218;Labtam Australia Pty. Ltd.
219;Republic Telcom Systems, Inc.
220;ADI Systems, Inc.
221;Microwave Bypass Systems, Inc.
222;Pyramid Technology Corp.
223;Unisys_Corp
224;LANOPTICS LTD., Israel
225;NKK Corporation
226;CODIMA Technologies Ltd
227;Acals
228;ASTEC, Inc.
229;Delmarva Power
230;Telematics International, Inc.
231;Fujitsu Technology Solutions GmbH (formerly 'Fujitsu Siemens Computers')
232;Compaq
233;NetManage, Inc.
234;NC State University
235;Empirical Tools and Technologies
236;Samsung Electronics Co., LTD.
237;Takaoka Electric Mfg. Co., Ltd.
238;NxNetworks
239;WINDATA
240;RC International A/S
241;Netexp Research
242;Internode Systems Pty Ltd
243;netCS Informationstechnik GmbH
244;Lantronix
245;Avatar Consultants
246;Furukawa Electoric Co. Ltd.
247;ND SatCom - Gesellschaft für SatellitenkommunikationssystemembH
248;Richard Hirschmann GmbH & Co.
249;G2R Inc.
250;University of Michigan
251;Netcomm, Ltd.
252;Sable Technology Corporation
253;Xerox
254;Conware Computer Consulting GmbH
255;Compatible Systems Corp.
256;Scitec Communications Systems Ltd.
257;Transarc Corporation
258;Matsushita Electric Industrial Co., Ltd.
259;ACCTON Technology
260;Star-Tek, Inc.
261;ADC Codenoll Technology Corporation
262;Formation, Inc.
263;Seiko Instruments, Inc.
264;RCE (Reseaux de Communication d'Entreprise S.A.)
265;Xenocom, Inc.
266;Nexans Deutschland Industries
267;Systech Computer Corporation
268;Visual
269;CSC Airline Solutions Denmark A/S
270;Zenith Electronics Corporation
271;Telia Company AB
272;BinTec Communications GmbH
273;EUnet Germany
274;PictureTel Corporation
275;Michigan State University
276;GTE Government Systems - Network Management Organization
277;Cascade Communications Corp.
278;APRESIA Systems, Ltd. (formerly 'Hitachi Cable, Ltd.')
279;Olivetti
280;Vitacom Corporation
281;INMOS
282;AIC Systems Laboratories Ltd.
283;Cameo Communications, Inc.
284;Diab Data AB
285;Olicom A/S
286;Digital-Kienzle Computersystems
287;CSELT(Centro Studi E Laboratori Telecomunicazioni)
288;Electronic Data Systems
289;Brocade Communications Systems, Inc. (formerly 'McData Corporation')
290;Harris Corporation
291;Technology Dynamics, Inc.
292;DATAHOUSE Information Systems Ltd.
293;Teltrend (NZ) Limited
294;Texas Instruments
295;PlainTree Systems Inc.
296;Hedemann Software Development
297;Fuji Xerox Co., Ltd.
298;Asante Technology
299;Stanford University
300;Digital Link
301;Raylan Corporation
302;Commscraft
303;Hughes Communications, Inc.
304;Farallon Computing, Inc.
305;GE Information Services
306;Gambit Computer Communications
307;Livingston Enterprises, Inc.
308;Star Technologies
309;Micronics Computers Inc.
310;Basis, Inc.
311;Microsoft
312;US West Advance Technologies
313;University College London
314;Eastman Kodak Company
315;Network Resources Corporation
316;Atlas Telecom
317;Bridgeway
318;American Power Conversion Corp.
319;DOE Atmospheric Radiation Measurement Project
320;VerSteeg CodeWorks
321;Verilink Corp
322;Sybus Corportation
323;Tekelec
324;NASA Ames Research Center
325;Simon Fraser University
326;Fore Systems, Inc.
327;Centrum Communications, Inc.
328;NeXT Computer, Inc.
329;Netcore, Inc.
330;Northwest Digital Systems
331;Andrew Corporation
332;Digi International
333;Computer Network Technology
334;Lotus Development Corp.
335;MICOM Communication Corporation
336;ASCII Corporation
337;PUREDATA Research
338;NTT DATA
339;Siemens Industry Inc.
340;Kendall Square Research (KSR)
341;ORNL
342;Network Innovations, Inc.
343;Intel Corporation
344;Compuware Corporation
345;Epson Research Center
346;Fibernet
347;Dot Hill Systems
348;American Express Company
349;Compu-Shack
350;Parallan Computer, Inc.
351;Stratacom
352;Open Networks Engineering, Inc.
353;ATM Forum
354;SSD Management, Inc.
355;Automated Network Management, Inc.
356;Magnalink Communications Corporation
357;Kasten Chase Applied Research
358;Skyline Technology, Inc.
359;Nu-Mega Technologies, Inc.
360;Morgan Stanley & Co. International PLC
361;Integrated Business Network
362;L & N Technologies, Ltd.
363;Cincinnati Bell Information Systems, Inc.
364;RAMA Technologies
365;MICROGNOSIS
366;Datapoint Corporation
367;RICOH Co. Ltd.
368;Axis Communications AB
369;Pacer Software
370;3COM/Axon
371;Alebra Technologies, Inc.
372;GSI
373;Tatung Co., Ltd.
374;DIS Research Ltd.
375;Quotron Systems, Inc.
376;Dassault Electronique
377;Corollary, Inc.
378;SEEL, Ltd.
379;Lexcel
380;pier64
381;OST
382;Megadata Pty Ltd.
383;LLNL Livermore Computer Center
384;Dynatech Communications
385;Symplex Communications Corp.
386;Tribe Computer Works
387;Taligent, Inc.
388;Symbol Technologies, Inc.
389;Lancert
390;Alantec
391;Ridgeback Solutions
392;Metrix, Inc.
393;Symantec Corporation
394;NRL Communication Systems Branch
395;I.D.E. Corporation
396;Panasonic Corporation Eco Solutions Company (formerly 'Panasonic Electric Works Co., Ltd.')
397;MegaPAC
398;Tyco Electronics
399;Hitachi Computer Products (America), Inc.
400;METEO FRANCE
401;PRC Inc.
402;Wal-Mart Stores, Inc.
403;Nissin Electric Company, Ltd.
404;Distributed Support Information Standard
405;SMDS Interest Group (SIG)
406;SolCom Systems Ltd.
407;Bell Atlantic
408;Advanced Multiuser Technologies Corporation
409;Mitsubishi Electric Corporation
410;C.O.L. Systems, Inc.
411;University of Auckland
412;Distributed Management Task Force (DMTF)
413;Klever Computers, Inc.Tom Su
414;Amdahl Corporation
